epoch,train_loss,train_acc,val_loss,val_acc
1,0.5958519165951108,0.8984126984126984,0.1458982618732585,0.9629629629629629
2,0.04588052671816614,0.9912698412698413,0.019083272143163615,0.9888888888888889
3,0.025761943227714964,0.9944444444444445,0.0032906747112671536,1.0
4,0.023852982413437633,0.9968253968253968,0.00488167781451786,1.0
5,0.008021266341564201,0.9984126984126984,0.0009434210809154643,1.0
6,0.018919937285808996,0.9952380952380953,0.008741488345657234,0.9962962962962963
7,0.01536105831434566,0.9968253968253968,0.0013021076688784416,1.0
8,0.016184416785097074,0.9936507936507937,0.0026598240007404926,1.0
9,0.01467198155051659,0.9968253968253968,0.008947336345617831,1.0
10,0.026291513225684564,0.9928571428571429,0.0009040550216687499,1.0
11,0.029259950966603818,0.9896825396825397,0.0009730123388753445,1.0
12,0.027184036966886312,0.9936507936507937,0.003265797405091925,1.0
13,0.01419037471687983,0.9968253968253968,0.002148728560725296,1.0
14,0.01446476751376712,0.9968253968253968,0.0016188247651034208,1.0
15,0.003664881471426241,1.0,0.0006678776712592311,1.0
16,0.008879909243218468,0.9968253968253968,0.0024301965500483306,1.0
17,0.0041817893858052905,0.9992063492063492,0.00021354273884315733,1.0
18,0.0024930526020138393,0.9992063492063492,0.00014269160558426478,1.0
19,0.016494502887750666,0.9944444444444445,0.000998237566913034,1.0
20,0.00610353683476292,0.9976190476190476,0.0023388304210298144,1.0
21,0.004039999185543921,0.9992063492063492,0.0007792550788036789,1.0
22,0.0018573203392045956,0.9992063492063492,0.00017790412648874162,1.0
23,0.00151953284216616,1.0,0.00011037999238060028,1.0
24,0.004383769142811024,0.9984126984126984,0.00019848322203028213,1.0
25,0.015910581593579123,0.9968253968253968,0.0002507414638583012,1.0
26,0.014991080181650995,0.9936507936507937,0.00022195170717572587,1.0
27,0.002827875953008761,0.9992063492063492,0.00025533827881897905,1.0
28,0.003164954239776033,0.9992063492063492,0.00010598133807501721,1.0
29,0.001376808130474288,1.0,0.00011835767234313405,1.0
30,0.0076417418604251,0.9984126984126984,0.00013434331647456727,1.0
31,0.0027535530248849046,0.9992063492063492,0.00026939316109443704,1.0
32,0.0023733280601889073,1.0,0.00019319588113662407,1.0
33,0.0016714901535860485,1.0,0.00016696105961239448,1.0
34,0.0016980818105078051,1.0,0.0002553728246884593,1.0
35,0.0019527906905822752,1.0,0.00020190570007630246,1.0
36,0.0011624334113938468,1.0,0.00010435981859228815,1.0
37,0.0014932205646468828,0.9992063492063492,0.0001772473547909478,1.0
38,0.0018110773757114887,0.9992063492063492,8.687376781987647e-05,1.0
39,0.006013787845851824,0.9992063492063492,0.00014237036564197666,1.0
40,0.0010548343784027984,1.0,9.99595826552077e-05,1.0
