epoch,train_loss,train_acc,val_loss,val_acc
1,0.7172676020198399,0.9015873015873016,0.13110908606538066,0.9851851851851852
2,0.04576474300452641,0.9880952380952381,0.005102673166052059,1.0
3,0.0454835668620136,0.9841269841269841,0.05007161484186158,0.9925925925925926
4,0.034665493729213875,0.9912698412698413,0.004167686739108629,1.0
5,0.07184647876651042,0.9785714285714285,0.009186054519550116,0.9962962962962963
6,0.03430933048061672,0.9944444444444445,0.0011491477851652437,1.0
7,0.022012976928067113,0.9952380952380953,0.0005387030011290874,1.0
8,0.01466964654853597,0.9944444444444445,0.0009437193416050394,1.0
9,0.05147593210318259,0.9896825396825397,0.003670169489837631,1.0
10,0.045013682091874736,0.9920634920634921,0.002439409174689057,1.0
11,0.012865431438983669,0.9968253968253968,0.000616393916964255,1.0
12,0.0078193693140906,0.9976190476190476,0.0005194043415906856,1.0
13,0.012161783045083877,0.9968253968253968,0.0002829474392961452,1.0
14,0.0053393995928918084,1.0,0.0004374390583069288,1.0
15,0.0142461466309171,0.9968253968253968,0.00046335245338182345,1.0
16,0.031595043898634025,0.9928571428571429,0.0007207841022237618,1.0
17,0.003635820078973969,1.0,0.0006348514230652384,1.0
18,0.005307113482350749,0.9984126984126984,0.0003126003433458714,1.0
19,0.0069546194214906015,0.9992063492063492,0.0007314113529261064,1.0
20,0.008244820515669528,0.9992063492063492,0.0008816763630925885,1.0
21,0.004336390318349004,0.9992063492063492,0.0005921009604612158,1.0
22,0.0039014600232125276,0.9984126984126984,0.000348443186548711,1.0
23,0.000787389803574317,1.0,0.0002985762347061946,1.0
24,0.0022453351195768586,0.9992063492063492,0.00023088584895487185,1.0
25,0.0023546557345460834,0.9992063492063492,0.0002407797491522851,1.0
26,0.0016599344932252452,1.0,0.00018687673224054312,1.0
27,0.001618396354070495,0.9992063492063492,0.00022785615491792904,1.0
28,0.0017896611022666866,1.0,0.00021999083778441504,1.0
29,0.0010515145739422194,1.0,0.0001796503820784252,1.0
30,0.0004569376481138909,1.0,0.0002030810767017236,1.0
31,0.004007277341415396,0.9984126984126984,0.00016602439195762767,1.0
32,0.000744452514770692,1.0,0.00018578654239212886,1.0
33,0.003785746216326804,0.9976190476190476,0.00015615624169758693,1.0
34,0.0017444128155826577,0.9992063492063492,0.00013441927127402138,1.0
35,0.0030691939553925914,0.9992063492063492,0.00020672467103900595,1.0
36,0.0025609360434972342,0.9992063492063492,0.00015895195387269335,1.0
37,0.0025631548147574657,0.9992063492063492,0.0002042744683826135,1.0
38,0.0007675421741118448,1.0,0.00015289390821298756,1.0
39,0.0017195357590921163,1.0,0.00017240864943704327,1.0
40,0.004220301199090918,0.9984126984126984,0.00016503890187272594,1.0
