epoch,train_loss,train_acc,val_loss,val_acc
1,0.4021413487249187,0.9142857142857143,0.1121714215984361,0.9592592592592593
2,0.029564566271645682,0.9952380952380953,0.022745613999992472,0.9962962962962963
3,0.04558959680180701,0.9904761904761905,0.04223032498525248,0.9925925925925926
4,0.06722702332920144,0.9825396825396825,0.04582019730436581,0.9814814814814815
5,0.03901323344972399,0.9888888888888889,0.08631640273939681,0.9629629629629629
6,0.03514247573320828,0.9904761904761905,0.012662327198173713,0.9962962962962963
7,0.02095248346172628,0.9936507936507937,0.011912575893155817,1.0
8,0.025972856702430852,0.9936507936507937,0.01328814386156241,0.9962962962962963
9,0.018565412129793825,0.9952380952380953,0.0015303515173770764,1.0
10,0.02327011828976018,0.9928571428571429,0.09688587373950415,0.9592592592592593
11,0.01264528770421055,0.996031746031746,0.0010547832419871594,1.0
12,0.006333430296379245,0.9992063492063492,0.005924877424021597,1.0
13,0.00804795908135554,0.9976190476190476,0.0014265531247710222,1.0
14,0.006448185447758685,0.9984126984126984,0.0032828363214826416,1.0
15,0.005873659036874343,0.9992063492063492,0.0016537106509969346,1.0
16,0.015901447683923865,0.9944444444444445,0.0015498553455809425,1.0
17,0.03840761904102114,0.9888888888888889,0.0018044091140230498,1.0
18,0.08533688354350272,0.9888888888888889,0.003968724238155927,1.0
19,0.013029435679634353,0.996031746031746,0.0019496692387663103,1.0
20,0.009579737572049553,0.9984126984126984,0.003744239995204326,1.0
21,0.005302071631959979,0.9976190476190476,0.0011967516441708775,1.0
22,0.010289551286971094,0.996031746031746,0.00044931809728344284,1.0
23,0.0016761482549121692,1.0,0.00033646325981761844,1.0
24,0.003463309322759169,0.9984126984126984,0.0003356317702262593,1.0
25,0.0017470401372679228,0.9992063492063492,0.0002887377534837772,1.0
26,0.003506537515666365,0.9992063492063492,0.00043250645674696125,1.0
27,0.000607870291504595,1.0,0.0002133075058399872,1.0
28,0.0012265437982268705,1.0,0.00018692480645970337,1.0
29,0.0020535496492118995,0.9992063492063492,0.0001396280518275927,1.0
30,0.0005885516067676705,1.0,0.00013985607316768708,1.0
31,0.0008735726305906336,1.0,0.00017589695376550986,1.0
32,0.0015700653937759824,1.0,0.00012405469730125603,1.0
33,0.00041728621901480467,1.0,0.00011593064722277362,1.0
34,0.004893475665021614,0.9992063492063492,0.00013178333123236102,1.0
35,0.00022822615287695377,1.0,0.00015132663457835508,1.0
36,0.0005295020133619093,1.0,0.0001618165812774182,1.0
37,0.005499976021227277,0.9976190476190476,0.00017430059521791042,1.0
38,0.00124875287777589,1.0,0.00014884109841659666,1.0
39,0.0003040705830143351,1.0,0.0001577269767747364,1.0
40,0.0010743195954539318,1.0,0.0001378900533179856,1.0
