model,split,accuracy,macro_f1,weighted_f1
svm,val,0.9185185185185185,0.9175122198784974,0.9175122198784974
svm,test,0.9518518518518518,0.9519294985618124,0.9519294985618122
random_forest,val,0.9222222222222223,0.9207316480648565,0.9207316480648564
random_forest,test,0.9333333333333333,0.932358664222332,0.9323586642223318
knn,val,0.7888888888888889,0.7661425581097078,0.7661425581097077
knn,test,0.8222222222222222,0.8068642580651465,0.8068642580651465
